variant,task_i,task_j,cosine_similarity
norm_only,Gynecology and Obstetrics,Andrology,0.8895002603530884
norm_only,Gynecology and Obstetrics,Oncology,0.8378808498382568
norm_only,Andrology,Internal Medicine,0.8357189893722534
norm_only,Andrology,Surgery,0.8474913835525513
norm_only,Andrology,Pediatrics,0.8254984617233276
norm_only,Andrology,Gynecology and Obstetrics,0.8895002603530884
norm_only,Andrology,Andrology,0.9999998807907104
norm_only,Andrology,Oncology,0.8487721681594849
norm_only,Oncology,Internal Medicine,0.8988133668899536
norm_only,Oncology,Surgery,0.8900554180145264
norm_only,Oncology,Pediatrics,0.8767577409744263
norm_only,Oncology,Gynecology and Obstetrics,0.8378808498382568
norm_only,Oncology,Andrology,0.8487721681594849
norm_only,Oncology,Oncology,1.0000001192092896
hard_orth,Internal Medicine,Internal Medicine,1.000000238418579
hard_orth,Internal Medicine,Surgery,0.8856529593467712
hard_orth,Internal Medicine,Pediatrics,0.9125050902366638
hard_orth,Internal Medicine,Gynecology and Obstetrics,0.8391116857528687
hard_orth,Internal Medicine,Andrology,0.8334025144577026
hard_orth,Internal Medicine,Oncology,0.897607684135437
hard_orth,Surgery,Internal Medicine,0.8856529593467712
hard_orth,Surgery,Surgery,1.0
hard_orth,Surgery,Pediatrics,0.8553485870361328
hard_orth,Surgery,Gynecology and Obstetrics,0.8482425212860107
hard_orth,Surgery,Andrology,0.8450950384140015
hard_orth,Surgery,Oncology,0.8883883357048035
hard_orth,Pediatrics,Internal Medicine,0.912505030632019
hard_orth,Pediatrics,Surgery,0.8553485870361328
hard_orth,Pediatrics,Pediatrics,0.9999997615814209
hard_orth,Pediatrics,Gynecology and Obstetrics,0.8459542393684387
hard_orth,Pediatrics,Andrology,0.8231371641159058
hard_orth,Pediatrics,Oncology,0.8752373456954956
hard_orth,Gynecology and Obstetrics,Internal Medicine,0.8391116857528687
hard_orth,Gynecology and Obstetrics,Surgery,0.8482425212860107
hard_orth,Gynecology and Obstetrics,Pediatrics,0.8459542393684387
hard_orth,Gynecology and Obstetrics,Gynecology and Obstetrics,0.9999998807907104
hard_orth,Gynecology and Obstetrics,Andrology,0.8881515860557556
hard_orth,Gynecology and Obstetrics,Oncology,0.8362295627593994
hard_orth,Andrology,Internal Medicine,0.8334025144577026
hard_orth,Andrology,Surgery,0.8450950384140015
hard_orth,Andrology,Pediatrics,0.8231370449066162
hard_orth,Andrology,Gynecology and Obstetrics,0.8881515860557556
hard_orth,Andrology,Andrology,1.000000238418579
hard_orth,Andrology,Oncology,0.8475252389907837
hard_orth,Oncology,Internal Medicine,0.8976077437400818
hard_orth,Oncology,Surgery,0.8883883357048035
hard_orth,Oncology,Pediatrics,0.8752373456954956
hard_orth,Oncology,Gynecology and Obstetrics,0.8362295627593994
hard_orth,Oncology,Andrology,0.8475251197814941
hard_orth,Oncology,Oncology,1.000000238418579
cosine_soft_orth,Internal Medicine,Internal Medicine,1.0
cosine_soft_orth,Internal Medicine,Surgery,0.8868745565414429
cosine_soft_orth,Internal Medicine,Pediatrics,0.9134264588356018
cosine_soft_orth,Internal Medicine,Gynecology and Obstetrics,0.8405264616012573
cosine_soft_orth,Internal Medicine,Andrology,0.8345866799354553
cosine_soft_orth,Internal Medicine,Oncology,0.8981877565383911
cosine_soft_orth,Surgery,Internal Medicine,0.8868745565414429
cosine_soft_orth,Surgery,Surgery,0.9999998807907104
cosine_soft_orth,Surgery,Pediatrics,0.8571366667747498
cosine_soft_orth,Surgery,Gynecology and Obstetrics,0.8498769998550415
cosine_soft_orth,Surgery,Andrology,0.8465275764465332
cosine_soft_orth,Surgery,Oncology,0.8893468379974365
cosine_soft_orth,Pediatrics,Internal Medicine,0.9134265184402466
cosine_soft_orth,Pediatrics,Surgery,0.857136607170105
cosine_soft_orth,Pediatrics,Pediatrics,0.9999998807907104
cosine_soft_orth,Pediatrics,Gynecology and Obstetrics,0.8474410772323608
cosine_soft_orth,Pediatrics,Andrology,0.8245692849159241
cosine_soft_orth,Pediatrics,Oncology,0.876198947429657
cosine_soft_orth,Gynecology and Obstetrics,Internal Medicine,0.8405264616012573
cosine_soft_orth,Gynecology and Obstetrics,Surgery,0.8498769998550415
cosine_soft_orth,Gynecology and Obstetrics,Pediatrics,0.8474410176277161
cosine_soft_orth,Gynecology and Obstetrics,Gynecology and Obstetrics,1.0
cosine_soft_orth,Gynecology and Obstetrics,Andrology,0.88912034034729
cosine_soft_orth,Gynecology and Obstetrics,Oncology,0.8374783992767334
cosine_soft_orth,Andrology,Internal Medicine,0.8345866799354553
cosine_soft_orth,Andrology,Surgery,0.8465275764465332
cosine_soft_orth,Andrology,Pediatrics,0.8245693445205688
cosine_soft_orth,Andrology,Gynecology and Obstetrics,0.88912034034729
cosine_soft_orth,Andrology,Andrology,0.9999998807907104
cosine_soft_orth,Andrology,Oncology,0.8485233783721924
cosine_soft_orth,Oncology,Internal Medicine,0.8981877565383911
cosine_soft_orth,Oncology,Surgery,0.8893468379974365
cosine_soft_orth,Oncology,Pediatrics,0.876198947429657
cosine_soft_orth,Oncology,Gynecology and Obstetrics,0.8374783992767334
cosine_soft_orth,Oncology,Andrology,0.8485233783721924
cosine_soft_orth,Oncology,Oncology,1.0
full_atr,Internal Medicine,Internal Medicine,1.000000238418579
full_atr,Internal Medicine,Surgery,0.8856529593467712
full_atr,Internal Medicine,Pediatrics,0.9125050902366638
full_atr,Internal Medicine,Gynecology and Obstetrics,0.8391116857528687
full_atr,Internal Medicine,Andrology,0.8334025144577026
full_atr,Internal Medicine,Oncology,0.897607684135437
full_atr,Surgery,Internal Medicine,0.8856529593467712
full_atr,Surgery,Surgery,1.0
full_atr,Surgery,Pediatrics,0.8553485870361328
full_atr,Surgery,Gynecology and Obstetrics,0.8482425212860107
full_atr,Surgery,Andrology,0.8450950384140015
full_atr,Surgery,Oncology,0.8883883357048035
full_atr,Pediatrics,Internal Medicine,0.912505030632019
full_atr,Pediatrics,Surgery,0.8553485870361328
full_atr,Pediatrics,Pediatrics,0.9999997615814209
full_atr,Pediatrics,Gynecology and Obstetrics,0.8459542393684387
full_atr,Pediatrics,Andrology,0.8231371641159058
full_atr,Pediatrics,Oncology,0.8752373456954956
full_atr,Gynecology and Obstetrics,Internal Medicine,0.8391116857528687
full_atr,Gynecology and Obstetrics,Surgery,0.8482425212860107
full_atr,Gynecology and Obstetrics,Pediatrics,0.8459542393684387
full_atr,Gynecology and Obstetrics,Gynecology and Obstetrics,0.9999998807907104
full_atr,Gynecology and Obstetrics,Andrology,0.8881515860557556
full_atr,Gynecology and Obstetrics,Oncology,0.8362295627593994
full_atr,Andrology,Internal Medicine,0.8334025144577026
full_atr,Andrology,Surgery,0.8450950384140015
full_atr,Andrology,Pediatrics,0.8231370449066162
full_atr,Andrology,Gynecology and Obstetrics,0.8881515860557556
full_atr,Andrology,Andrology,1.000000238418579
full_atr,Andrology,Oncology,0.8475252389907837
full_atr,Oncology,Internal Medicine,0.8976077437400818
full_atr,Oncology,Surgery,0.8883883357048035
full_atr,Oncology,Pediatrics,0.8752373456954956
full_atr,Oncology,Gynecology and Obstetrics,0.8362295627593994
full_atr,Oncology,Andrology,0.8475251197814941
full_atr,Oncology,Oncology,1.000000238418579
lm_off_full_atr,Internal Medicine,Internal Medicine,0.9999998807907104
lm_off_full_atr,Internal Medicine,Surgery,0.8885076642036438
lm_off_full_atr,Internal Medicine,Pediatrics,0.9141228795051575
lm_off_full_atr,Internal Medicine,Gynecology and Obstetrics,0.8412011861801147
lm_off_full_atr,Internal Medicine,Andrology,0.8349343538284302
lm_off_full_atr,Internal Medicine,Oncology,0.8985087871551514
lm_off_full_atr,Surgery,Internal Medicine,0.8885076642036438
lm_off_full_atr,Surgery,Surgery,0.9999999403953552
lm_off_full_atr,Surgery,Pediatrics,0.8581641912460327
lm_off_full_atr,Surgery,Gynecology and Obstetrics,0.8502485752105713
lm_off_full_atr,Surgery,Andrology,0.8465977311134338
lm_off_full_atr,Surgery,Oncology,0.8894500732421875
lm_off_full_atr,Pediatrics,Internal Medicine,0.9141229391098022
lm_off_full_atr,Pediatrics,Surgery,0.8581641912460327
lm_off_full_atr,Pediatrics,Pediatrics,1.0000001192092896
lm_off_full_atr,Pediatrics,Gynecology and Obstetrics,0.8479084372520447
lm_off_full_atr,Pediatrics,Andrology,0.8247562646865845
lm_off_full_atr,Pediatrics,Oncology,0.8762511014938354
lm_off_full_atr,Gynecology and Obstetrics,Internal Medicine,0.8412011861801147
lm_off_full_atr,Gynecology and Obstetrics,Surgery,0.8502485752105713
lm_off_full_atr,Gynecology and Obstetrics,Pediatrics,0.8479084968566895
lm_off_full_atr,Gynecology and Obstetrics,Gynecology and Obstetrics,1.0000001192092896
lm_off_full_atr,Gynecology and Obstetrics,Andrology,0.8889145851135254
lm_off_full_atr,Gynecology and Obstetrics,Oncology,0.837189257144928
lm_off_full_atr,Andrology,Internal Medicine,0.8349343538284302
lm_off_full_atr,Andrology,Surgery,0.8465977311134338
lm_off_full_atr,Andrology,Pediatrics,0.8247563242912292
lm_off_full_atr,Andrology,Gynecology and Obstetrics,0.8889145851135254
lm_off_full_atr,Andrology,Andrology,1.0
lm_off_full_atr,Andrology,Oncology,0.8480005264282227
lm_off_full_atr,Oncology,Internal Medicine,0.8985088467597961
lm_off_full_atr,Oncology,Surgery,0.8894500732421875
lm_off_full_atr,Oncology,Pediatrics,0.8762511014938354
lm_off_full_atr,Oncology,Gynecology and Obstetrics,0.8371891379356384
lm_off_full_atr,Oncology,Andrology,0.8480004668235779
lm_off_full_atr,Oncology,Oncology,1.000000238418579
